0;0.141
1;0.13
2;0.12
3;0.11
4;0.101
5;0.094
6;0.087
7;0.082
8;0.078
9;0.074
10;0.071
11;0.069
12;0.067
13;0.066
14;0.065
15;0.064
16;0.064
17;0.065
18;0.066
19;0.068
20;0.07
21;0.073
22;0.078
23;0.086
24;0.1
25;0.133
26;0.142
27;1.834
28;0.494
29;2.426
30;3.736
31;3.921
32;4.762
33;5.021
34;5.046
35;5.667
36;7.57
37;8.667
38;9.55
39;10.601
40;12.233
41;14.935
42;18.522
43;21.997
44;27.839
45;35.377
46;42.634
47;49.57
48;55.558
49;63.709
50;73.386
51;83.399
52;92.834
53;97.961
54;101.745
55;105.867
56;108.338
57;109.584
58;110.127
59;110.517
60;111.129
61;111.961
62;114.124
63;116.337
64;118.541
65;119.295
66;117.98
67;114.114
68;106.908
69;97.9
70;88.889
71;78.733
72;66.877
73;53.631
74;41.974
75;33.34
76;27.272
77;22.916
78;18.905
79;16.23
80;13.838
81;10.231
82;7.582
83;5.647
84;5.017
85;8.075
86;13.703
87;3.563
88;3.04
89;2.971
90;2.944
91;2.967
92;3.062
93;3.166
94;3.093
95;2.629
96;1.787
97;0.75
98;0.094
99;0.075
100;0.064
101;0.052
102;0.04
103;0.027
104;0.015
105;0.003
106;0.008
107;0.018
108;0.027
109;0.034
110;0.04
111;0.043
112;0.041
113;0.034
114;0.013
115;0.03
116;0.108
117;0.173
118;0.193
119;0.191
120;0.18
121;0.163
122;0.144
123;0.121
124;0.097
125;0.072
126;0.046
127;0.02
128;0.007
