0;0.075
1;0.074
2;0.071
3;0.068
4;0.065
5;0.062
6;0.06
7;0.058
8;0.057
9;0.057
10;0.06
11;0.066
12;0.078
13;0.099
14;0.059
15;0.28
16;22.315
17;0.219
18;25.808
19;25.728
20;25.778
21;45.654
22;29.644
23;47.822
24;52.797
25;53.554
26;53.841
27;60.997
28;53.393
29;60.909
30;62.646
31;59.685
32;57.239
33;55.309
34;54.069
35;52.998
36;51.282
37;48.545
38;46.318
39;44.333
40;43.099
41;42.185
42;41.781
43;41.091
44;40.04
45;39.931
46;40.274
47;41.493
48;43.34
49;45.473
50;46.562
51;47.689
52;48.025
53;48.815
54;48.891
55;48.911
56;48.909
57;48.896
58;48.875
59;48.851
60;48.826
61;48.803
62;48.788
63;48.793
64;48.842
65;48.874
66;49.345
67;49.953
68;50.302
69;51.434
70;52.412
71;53.414
72;54.909
73;57.073
74;58.53
75;59.927
76;61.599
77;61.843
78;62.447
79;62.26
80;61.851
81;61.863
82;61.803
83;60.937
84;61.009
85;60.543
86;59.742
87;59.883
88;59.763
89;58.244
90;56.237
91;53.254
92;49.142
93;44.98
94;42.861
95;40.401
96;38.033
97;34.525
98;29.041
99;21.765
100;16.717
101;14.913
102;19.081
103;15.732
104;6.437
105;5.758
106;4.415
107;3.045
108;2.241
109;0.061
110;0.014
111;0.011
112;0.026
113;0.035
114;0.041
115;0.043
116;0.043
117;0.041
118;0.038
119;0.034
120;0.029
121;0.023
122;0.016
123;0.009
124;0.002
125;0.006
126;0.014
127;0.023
128;0.03
