0;0.718
1;11.7
2;17.915
3;12.619
4;21.771
5;27.296
6;31.423
7;33.611
8;33.681
9;32.914
10;31.633
11;29.885
12;27.867
13;26.893
14;25.896
15;24.899
16;23.762
17;22.087
18;20.798
19;19.836
20;19.771
21;19.858
22;19.854
23;19.836
24;19.836
25;19.848
26;19.844
27;19.743
28;18.992
29;18.823
30;18.754
31;18.72
32;18.778
33;18.682
34;19.463
35;19.877
36;19.04
37;18.86
38;18.889
39;18.866
40;18.807
41;18.76
42;19.387
43;19.841
44;19.829
45;19.822
46;19.826
47;19.841
48;19.858
49;19.851
50;19.803
51;19.748
52;19.766
53;20.417
54;20.911
55;20.834
56;20.707
57;21.308
58;21.894
59;21.859
60;22.285
61;22.701
62;23.103
63;24.391
64;24.705
65;25.72
66;27.451
67;27.804
68;28.212
69;28.868
70;28.858
71;28.766
72;28.736
73;29.658
74;31.567
75;33.54
76;36.049
77;38.657
78;40.222
79;40.792
80;40.827
81;40.265
82;39.489
83;37.996
84;36.138
85;34.339
86;33.384
87;32.356
88;31.248
89;30.854
90;30.396
91;29.529
92;28.392
93;27.698
94;27.531
95;26.662
96;26.582
97;25.886
98;25.344
99;25.061
100;25.74
101;24.525
102;23.094
103;21.443
104;19.459
105;17.358
106;15.596
107;14.891
108;14.482
109;13.752
110;13.707
111;12.7
112;11.598
113;10.753
114;10.912
115;11.828
116;11.856
117;11.75
118;11.925
119;12.856
120;12.782
121;12.731
122;13.645
123;12.791
124;12.843
125;12.914
126;15.707
127;17.753
128;15.646
